page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link
N O C T I S,male,0,Philippines,365,Facebook,Ragnarok Online,unavailable,unavailable,9/27/2019,https://www.facebook.com/NOCTIS30
Arlybee Gaming,female,0,Philippines,232,Facebook,Mobile Legends,unavailable,unavailable,9/26/2020,https://www.facebook.com/arlybeegaming
Bastanyel Gaming,male,0,Philippines,112,Facebook,Call of Duty: Mobile,unavailable,unavailable,07/01/2020,https://www.facebook.com/BastyanelGaming
Ousama Gaming,male,0,Philippines,146,Facebook,Valorant,Mobile Legends,League of Legends,08/03/2020,https://www.facebook.com/Ousama-Gaming-594181264588690
Gercoco Gaming,male,0,Philippines,755,Facebook,Valorant,Mobile Legends,NBA2k20,01/11/2021,https://www.facebook.com/GercocoLumber
Yaxie Ch.,female,0,Philippines,63816,Facebook,Minecraft,Valheim,Valorant,11/03/2020,https://www.facebook.com/YaxieLotte/
Ywuria,female,0,Philippines,2400,Facebook,Minecraft,Phasmophobia,Among Us,9/22/2020,https://www.facebook.com/Ywuria/videos/?ref=page_internal
Tonkatzoe,female,0,Philippines,5537,Facebook,Valorant,PUBG Mobile,Little Nightmares,11/02/2020,https://www.facebook.com/TnktZoe
Anneru Nekogami Ch.,female,0,Philippines,1939,Facebook,Valorant,Genshin Impact,Phasmophobia,8/18/2020,https://www.facebook.com/annerunekogami/
Ebisu Inari,female,0,Philippines,1159,Facebook,Genshin Impact,Stardew Valley,Giraffe and Annika,6/14/2020,https://www.facebook.com/EbisuInariPH/
イズミch.,male,0,Philippines,594,Facebook,Among Us,Toram Online,Five Nights at Freddy's 2,05/04/2020,https://www.facebook.com/IzumiChanneru
Pao-san,male,0,Philippines,688,Facebook,League of Legends,Among Us,Night in the Woods,12/03/2020,https://www.facebook.com/Paosan23
Ulo mo Lumpia,male,0,Philippines,762,Facebook,Valorant,League of Legends,Devil May Cry 5,10/12/2019,https://www.facebook.com/LumpiaEmpire
Coral • Greenkimochii,female,0,Philippines,10592,Facebook,The Legend of Heroes: Trails of Cold Steel,PUBG Mobile,Euro Truck Simulator,8/22/2015,https://www.facebook.com/greenkimochii/
Rion_Akahoshi,female,0,Philippines,409,Twitch,Raft,Left 4 Dead 2,VRChat,10/10/2020,https://www.twitch.tv/rion_akahoshi
shiori_p0n,female,0,Philippines,1900,Twitch,Minecraft,Valorant,The Legend of Zelda: Breath of the Wild,9/24/2020,https://www.twitch.tv/shiori_p0n
Angelo Vtuber,male,0,Philippines,894,Facebook,Five Nights at Freddy's 2,unavailable,unavailable,12/24/2020,https://www.facebook.com/angelovtuber/
Chescakees Channel,female,0,Philippines,1062,Facebook,Call of Duty: Mobile,Skribbl.io,League of Legends: Wild Rift,12/04/2020,https://www.facebook.com/chescakees/
Chicharon Gaming,female,0,Philippines,2070,Facebook,Call of Duty: Mobile,Mobile Legends,Fall Guys,7/31/2020,https://www.facebook.com/ChicharongBulaklakATBP
Heimdalrr,male,0,Philippines,773,Facebook,Valorant,League of Legends,unavailable,5/27/2020,https://www.facebook.com/Heimdalrr/
Dotix Gaming,male,0,Philippines,649,Facebook,Valorant,Among Us,Mobile Legends,6/16/2020,https://www.facebook.com/DotixGaming/
L A Z Y,male,0,Philippines,577,Facebook,Mobile Legends,unavailable,unavailable,7/27/2019,https://www.facebook.com/LazyGaminGG/
Chiho,female,0,Philippines,703,Facebook,Valorant,unavailable,unavailable,9/14/2020,https://www.facebook.com/chichioo0/
SUPER ANGRY LOR,male,0,Philippines,302,Facebook,Valorant,DOTA 2,Among Us,07/06/2020,https://www.facebook.com/SuperAngryLor
ZsigmonyO,male,0,Philippines,1371,Facebook,Mobile Legends,PUBG Mobile,unavailable,06/05/2020,https://www.facebook.com/ZsigmonyO/
Konnichiwa Gaming,male,0,Philippines,483,Facebook,Valorant,Fall Guys,DOTA 2,9/30/2020,https://www.facebook.com/KonnichiwaGaming
Larong Tito,male,0,Philippines,164,Facebook,Mobile Legends,unavailable,unavailable,6/13/2020,https://www.facebook.com/Larong-Tito-107434337678236
FLTCasul,male,0,unavailable,45,Facebook,Nioh 2,Sekiro,unavailable,02/09/2021,https://www.facebook.com/FLTCasul
XIV,male,0,Philippines,446,Facebook,Valorant,Among Us,Ragnarok Online,1/23/2020,https://www.facebook.com/XIVGamingPH
RanbooLive,male,0,United States of America,2804352,Twitch,Minecraft,Slime Rancher,Little Nightmares,09/12/2020,https://www.twitch.tv/ranboolive
