page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link
KiLimePie,male,0,US,12600,Twitch,Genshin Impact,unavailable,unavailable,8/18/2020,https://www.twitch.tv/KiLimePie
itsKaystar,female,0,Canada,6200,Twitch,Genshin Impact,unavailable,unavailable,03/06/2021,https://www.twitch.tv/itskaystar
Zajef77,male,0,unavailable,2100,Twitch,Genshin Impact,unavailable,unavailable,4/21/2021,https://www.twitch.tv/zajef77
charlized,female,0,New Zealand,1800,Twitch,Genshin Impact,unavailable,unavailable,4/18/2021,https://www.twitch.tv/charlized
lanceletsgo,male,0,US,3300,Twitch,Genshin Impact,Animal Crossing,unavailable,06/07/2020,https://www.twitch.tv/lanceletsgo
MaryMaybe,female,0,US,115000,Twitch,Genshin Impact,League of Legends,unavailable,4/15/2018,https://www.twitch.tv/MaryMaybe
Chantilly_cake,female,0,US,1900,Twitch,Genshin Impact,unavailable,unavailable,4/21/2021,https://www.twitch.tv/Chantilly_cake
lerritay,female,0,Russia,1900,Twitch,Genshin Impact,unavailable,unavailable,03/06/2021,https://www.twitch.tv/lerritay
AaronHongry,male,0,unavailable,756,Twitch,Genshin Impact,unavailable,unavailable,05/01/2021,https://www.twitch.tv/AaronHongry
official_gizza,male,0,Italy,7700,Twitch,Genshin Impact,unavailable,unavailable,03/06/2021,https://www.twitch.tv/official_gizza
keinpart2,male,0,Germany,22300,Twitch,Genshin Impact,unavailable,unavailable,03/08/2021,https://www.twitch.tv/keinpart2
AfyChan,female,0,Spain,14100,Twitch,Genshin Impact,unavailable,unavailable,3/20/2021,https://www.twitch.tv/AfyChan
"PopTartChilde
",male,0,unavailable,3300,Twitch,Genshin Impact,unavailable,unavailable,3/16/2021,https://www.twitch.tv/PopTartChilde
NatsumeReicko,female,0,Russia,3900,Twitch,Genshin Impact,unavailable,unavailable,03/08/2021,https://www.twitch.tv/NatsumeReicko
SultaiGaming,male,0,Philippines,379,Twitch,Genshin Impact,unavailable,unavailable,4/21/2021,https://www.twitch.tv/SultaiGaming
AsPigTV,male,0,France,1400,Twitch,Genshin Impact,Sims,unavailable,03/06/2021,https://www.twitch.tv/AsPigTV
Xzero,male,0,US,25200,Twitch,Genshin Impact,unavailable,unavailable,01/03/2021,https://www.twitch.tv/Xzero
phillysky,female,0,US,600,Twitch,Genshin Impact,unavailable,unavailable,1/25/2021,https://www.twitch.tv/phillysky
uniderp,male,0,Portugal,513,Twitch,Genshin Impact,unavailable,unavailable,4/21/2021,https://www.twitch.tv/uniderp
ShinoriRoad,male,0,unavailable,1400,Twitch,Genshin Impact,unavailable,unavailable,03/06/2021,https://www.twitch.tv/ShinoriRoad
inouekyoumi,male,0,unavailable,2700,Twitch,Genshin Impact,unavailable,unavailable,4/21/2021,https://www.twitch.tv/inouekyoumi
VadrisEtShiny,male,0,France,6700,Twitch,Genshin Impact,unavailable,unavailable,1/16/2021,https://www.twitch.tv/VadrisEtShiny
LhokarTV,male,0,India,3900,Twitch,Genshin Impact,unavailable,unavailable,03/06/2021,https://www.twitch.tv/LhokarTV
FractalFlow,male,0,unavailable,462,Twitch,Genshin Impact,unavailable,unavailable,9/21/2020,https://www.twitch.tv/FractalFlow
Dimi_V_Gaming,male,0,Belgium,2200,Twitch,Genshin Impact,unavailable,unavailable,1/13/2020,https://www.twitch.tv/Dimi_V_Gaming
trtl3_,male,0,Philippines,248,Twitch,Genshin Impact,unavailable,unavailable,4/22/2021,https://www.twitch.tv/trtl3_
kazado17,male,0,France,2100,Twitch,Genshin Impact,unavailable,unavailable,04/12/2021,https://www.twitch.tv/kazado17
Esmunky,male,0,Spain,1600,Twitch,Genshin Impact,unavailable,unavailable,4/21/2021,https://www.twitch.tv/Esmunky
KaptanToygun,male,0,Turkey,30000,Twitch,Genshin Impact,Valorant,unavailable,1/20/2021,https://www.twitch.tv/KaptanToygun
iNEXXXUS,male,0,Australia,365,Twitch,Genshin Impact,unavailable,unavailable,09/11/2020,https://www.twitch.tv/iNEXXXUS
DoombringEX,male,0,Canada,1800,Twitch,Genshin Impact,Teamfight Tactics,unavailable,12/20/2021,https://www.twitch.tv/DoombringEX
CaptHokage,male,0,unavailable,7000,Twitch,Genshin Impact,unavailable,unavailable,03/06/2021,https://www.twitch.tv/CaptHokage
TheNytez,male,0,Canada,570,Twitch,Genshin Impact,unavailable,unavailable,12/21/2020,https://www.twitch.tv/TheNytez
Blurdesu,female,0,Turkey,522,Twitch,Genshin Impact,unavailable,unavailable,05/02/2021,https://www.twitch.tv/Blurdesu
Arexink,male,0,France,701,Twitch,Genshin Impact,unavailable,unavailable,01/08/2021,https://www.twitch.tv/Arexink
TheGambitSG,male,0,Singapore,1100,Twitch,Genshin Impact,unavailable,unavailable,4/29/2021,https://www.twitch.tv/TheGambitSG
Anhthu,female,0,US,7100,Twitch,Genshin Impact,unavailable,unavailable,10/25/2020,https://www.twitch.tv/Anhthu
Kristine Santamena,female,0,Philippines,2494011,Facebook,Mobile Legends,unavailable,unavailable,5/30/2011,https://www.facebook.com/KristineSantamenaPage
Megan Young,female,0,unavailable,4200000,Facebook,Among Us,Wild Rift,unavailable,6/21/2010,https://www.facebook.com/MeganYoungPage
Dexie Diaz,female,0,Philippines,6000000,Facebook,APEX Legends,Mobile Legends,Wild Rift,11/14/2018,https://www.facebook.com/DexienessDiaz
Sheila Snow,female,0,Philippines,1007239,Facebook,Valorant,Among Us,Mobile Legends,6/29/2014,https://www.facebook.com/iamSheilaSnow/
Van Holiday,male,0,Philippines,122241,Facebook,Grand Theft Auto V,unavailable,unavailable,2/16/2018,https://www.facebook.com/vanholidaygaming/
Coach BYB,male,0,Philippines,176193,Facebook,DOTA 2,unavailable,unavailable,7/14/2017,https://www.facebook.com/CoachByb
Omz.com,male,0,Philippines,165857,Facebook,Valorant,unavailable,unavailable,4/14/2018,https://www.facebook.com/itsmeomz
ZeDelicious,male,0,Philippines,371340,Facebook,Genshin Impact,Mobile Legends,unavailable,1/21/2017,https://www.facebook.com/zedelish
Grappler Daddy,male,0,Philippines,141213,Facebook,Valorant,unavailable,unavailable,06/01/2018,https://www.facebook.com/GrapplerDaddy
Aya Ezmaria,female,0,Philippines,135000,Facebook,Resident Evil Village,Call of Duty: Mobile,unavailable,10/21/2014,https://www.facebook.com/ayaezmaria
Suzzysaur,female,0,Philippines,298467,Facebook,Valorant,Wild Rift,League of Legends,6/17/2015,https://www.facebook.com/suzzysaur/
Weigibbor Labos,male,0,Philippines,656000,Facebook,Mobile Legends,unavailable,unavailable,10/15/2015,https://www.facebook.com/weigibborlabos
YuriGaming,female,0,Philippines,1019676,Facebook,Mobile Legends,unavailable,unavailable,2/15/2020,https://www.facebook.com/YuriGamiing
Dota Circle,male,0,Philippines,1200000,Facebook,Grand Theft Auto V,Mobile Legends,unavailable,12/06/2015,https://www.facebook.com/dotacircle
Inzaiplays Esports,male,0,Philippines,1000000,Facebook,Mobile Legends,unavailable,unavailable,1/15/2018,https://www.facebook.com/InzaiplayseSports
Akosi Dogie,male,0,Philippines,6854756,Facebook,Mobile Legends,unavailable,unavailable,07/03/2017,https://www.facebook.com/AkoSiDogie
BLinK Gaming,male,0,unavailable,397932,Facebook,Call of Duty: Mobile,unavailable,unavailable,1/21/2018,https://www.facebook.com/TFsBLinK/
Z4pnu,male,0,unavailable,2673633,Facebook,Mobile Legends,unavailable,unavailable,10/11/2017,https://www.facebook.com/z4pnu/
Riku PH,female,0,Philippines,245000,Facebook,Wild Rift,unavailable,unavailable,11/13/2014,https://www.facebook.com/RikuPH
Rain Zerlyn,female,0,unavailable,161000,Facebook,DOTA 2,Valorant,unavailable,04/01/2018,https://www.facebook.com/statsgirlrain
Le Josette,female,0,unavailable,239374,Facebook,Mobile Legends,Valorant,unavailable,9/26/2016,https://www.facebook.com/josetteswanbaby/
Jia Dee,female,0,unavailable,6838,Facebook,Hearthstone,unavailable,unavailable,11/15/2019,https://www.facebook.com/JiaDeeGaming/
Tingmats,male,0,unavailable,14081,Facebook,Valorant,PUBG,unavailable,6/15/2019,https://www.facebook.com/tingmatsgaming/
krisrey,female,0,Philippines,23814,Twitch,Valorant,Raid: Shadow Legends,Minecraft,4/27/2015,https://www.twitch.tv/krisrey
jollymcdo,male,0,Philippines,12019,Twitch,Valorant,Escape from Tarkov,Grand Theft Auto V,5/24/2016,https://www.twitch.tv/jollymcdo
Ichiiiiii,male,0,unavailable,1539,Twitch,Stream Raiders,Fall Guys,Witcher 3: Wild Hunt,09/05/2013,https://www.twitch.tv/ichiiiiii
