page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link,year_started
Xlice,male,-1,US,72700,Twitch,Genshin Impact,none,none,2017-07-28,https://www.twitch.tv/xlice,2017
SirBlindz,male,-1,US,2600,Twitch,Genshin Impact,none,none,2021-02-12,https://www.twitch.tv/SirBlindz,2021
zcosy,female,-1,Australia,24600,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/zcosy,2021
Jelledot,male,-1,unavailable,14500,Twitch,Genshin Impact,none,none,2017-05-07,https://www.twitch.tv/jelledot,2017
KiLimePie,male,-1,US,12600,Twitch,Genshin Impact,none,none,2020-08-18,https://www.twitch.tv/KiLimePie,2020
itsKaystar,female,-1,Canada,6200,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/itskaystar,2021
Zajef77,male,-1,unavailable,2100,Twitch,Genshin Impact,none,none,2021-04-21,https://www.twitch.tv/zajef77,2021
charlized,female,-1,New Zealand,1800,Twitch,Genshin Impact,none,none,2021-04-18,https://www.twitch.tv/charlized,2021
lanceletsgo,male,-1,US,3300,Twitch,Genshin Impact,Animal Crossing,none,2020-06-07,https://www.twitch.tv/lanceletsgo,2020
MaryMaybe,female,-1,US,115000,Twitch,Genshin Impact,League of Legends,none,2018-04-15,https://www.twitch.tv/MaryMaybe,2018
Chantilly_cake,female,-1,US,1900,Twitch,Genshin Impact,none,none,2021-04-21,https://www.twitch.tv/Chantilly_cake,2021
lerritay,female,-1,Russia,1900,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/lerritay,2021
AaronHongry,male,-1,unavailable,756,Twitch,Genshin Impact,none,none,2021-05-01,https://www.twitch.tv/AaronHongry,2021
official_gizza,male,-1,Italy,7700,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/official_gizza,2021
keinpart2,male,-1,Germany,22300,Twitch,Genshin Impact,none,none,2021-03-08,https://www.twitch.tv/keinpart2,2021
AfyChan,female,-1,Spain,14100,Twitch,Genshin Impact,none,none,2021-03-20,https://www.twitch.tv/AfyChan,2021
"PopTartChilde
",male,-1,unavailable,3300,Twitch,Genshin Impact,none,none,2021-03-16,https://www.twitch.tv/PopTartChilde,2021
NatsumeReicko,female,-1,Russia,3900,Twitch,Genshin Impact,none,none,2021-03-08,https://www.twitch.tv/NatsumeReicko,2021
SultaiGaming,male,-1,Philippines,379,Twitch,Genshin Impact,none,none,2021-04-21,https://www.twitch.tv/SultaiGaming,2021
AsPigTV,male,-1,France,1400,Twitch,Genshin Impact,Sims,none,2021-03-06,https://www.twitch.tv/AsPigTV,2021
Xzero,male,-1,US,25200,Twitch,Genshin Impact,none,none,2021-01-03,https://www.twitch.tv/Xzero,2021
phillysky,female,-1,US,600,Twitch,Genshin Impact,none,none,2021-01-25,https://www.twitch.tv/phillysky,2021
uniderp,male,-1,Portugal,513,Twitch,Genshin Impact,none,none,2021-04-21,https://www.twitch.tv/uniderp,2021
ShinoriRoad,male,-1,unavailable,1400,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/ShinoriRoad,2021
inouekyoumi,male,-1,unavailable,2700,Twitch,Genshin Impact,none,none,2021-04-21,https://www.twitch.tv/inouekyoumi,2021
VadrisEtShiny,male,-1,France,6700,Twitch,Genshin Impact,none,none,2021-01-16,https://www.twitch.tv/VadrisEtShiny,2021
LhokarTV,male,-1,India,3900,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/LhokarTV,2021
FractalFlow,male,-1,unavailable,462,Twitch,Genshin Impact,none,none,2020-09-21,https://www.twitch.tv/FractalFlow,2020
Dimi_V_Gaming,male,-1,Belgium,2200,Twitch,Genshin Impact,none,none,2020-01-13,https://www.twitch.tv/Dimi_V_Gaming,2020
trtl3_,male,-1,Philippines,248,Twitch,Genshin Impact,none,none,2021-04-22,https://www.twitch.tv/trtl3_,2021
kazado17,male,-1,France,2100,Twitch,Genshin Impact,none,none,2021-04-12,https://www.twitch.tv/kazado17,2021
Esmunky,male,-1,Spain,1600,Twitch,Genshin Impact,none,none,2021-04-21,https://www.twitch.tv/Esmunky,2021
KaptanToygun,male,-1,Turkey,30000,Twitch,Genshin Impact,Valorant,none,2021-01-20,https://www.twitch.tv/KaptanToygun,2021
iNEXXXUS,male,-1,Australia,365,Twitch,Genshin Impact,none,none,2020-09-11,https://www.twitch.tv/iNEXXXUS,2020
DoombringEX,male,-1,Canada,1800,Twitch,Genshin Impact,Teamfight Tactics,none,2021-12-20,https://www.twitch.tv/DoombringEX,2021
CaptHokage,male,-1,unavailable,7000,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/CaptHokage,2021
TheNytez,male,-1,Canada,570,Twitch,Genshin Impact,none,none,2020-12-21,https://www.twitch.tv/TheNytez,2020
Blurdesu,female,-1,Turkey,522,Twitch,Genshin Impact,none,none,2021-05-02,https://www.twitch.tv/Blurdesu,2021
Arexink,male,-1,France,701,Twitch,Genshin Impact,none,none,2021-01-08,https://www.twitch.tv/Arexink,2021
TheGambitSG,male,-1,Singapore,1100,Twitch,Genshin Impact,none,none,2021-04-29,https://www.twitch.tv/TheGambitSG,2021
Anhthu,female,-1,US,7100,Twitch,Genshin Impact,none,none,2020-10-25,https://www.twitch.tv/Anhthu,2020
Kristine Santamena,female,-1,Philippines,2494011,Facebook,Mobile Legends,none,none,2011-05-30,https://www.facebook.com/KristineSantamenaPage,2011
Megan Young,female,-1,unavailable,4200000,Facebook,Among Us,Wild Rift,none,2010-06-21,https://www.facebook.com/MeganYoungPage,2010
Dexie Diaz,female,-1,Philippines,6000000,Facebook,APEX Legends,Mobile Legends,Wild Rift,2018-11-14,https://www.facebook.com/DexienessDiaz,2018
Sheila Snow,female,-1,Philippines,1007239,Facebook,Valorant,Among Us,Mobile Legends,2014-06-29,https://www.facebook.com/iamSheilaSnow/,2014
Van Holiday,male,-1,Philippines,122241,Facebook,Grand Theft Auto V,none,none,2018-02-16,https://www.facebook.com/vanholidaygaming/,2018
Coach BYB,male,-1,Philippines,176193,Facebook,DOTA 2,none,none,2017-07-14,https://www.facebook.com/CoachByb,2017
Omz.com,male,-1,Philippines,165857,Facebook,Valorant,none,none,2018-04-14,https://www.facebook.com/itsmeomz,2018
ZeDelicious,male,-1,Philippines,371340,Facebook,Genshin Impact,Mobile Legends,none,2017-01-21,https://www.facebook.com/zedelish,2017
Grappler Daddy,male,-1,Philippines,141213,Facebook,Valorant,none,none,2018-06-01,https://www.facebook.com/GrapplerDaddy,2018
Aya Ezmaria,female,-1,Philippines,135000,Facebook,Resident Evil Village,Call of Duty: Mobile,none,2014-10-21,https://www.facebook.com/ayaezmaria,2014
Suzzysaur,female,-1,Philippines,298467,Facebook,Valorant,Wild Rift,League of Legends,2015-06-17,https://www.facebook.com/suzzysaur/,2015
Weigibbor Labos,male,-1,Philippines,656000,Facebook,Mobile Legends,none,none,2015-10-15,https://www.facebook.com/weigibborlabos,2015
YuriGaming,female,-1,Philippines,1019676,Facebook,Mobile Legends,none,none,2020-02-15,https://www.facebook.com/YuriGamiing,2020
Dota Circle,male,-1,Philippines,1200000,Facebook,Grand Theft Auto V,Mobile Legends,none,2015-12-06,https://www.facebook.com/dotacircle,2015
Inzaiplays Esports,male,-1,Philippines,1000000,Facebook,Mobile Legends,none,none,2018-01-15,https://www.facebook.com/InzaiplayseSports,2018
Akosi Dogie,male,-1,Philippines,6854756,Facebook,Mobile Legends,none,none,2017-07-03,https://www.facebook.com/AkoSiDogie,2017
